team,avg_points,avg_rank,title_prob,top4_prob,top6_prob,relegation_prob,avg_gd
Manchester City,103.0096,1.682,0.4988,0.9964,1.0,0.0,192.9666
Arsenal,101.4804,1.8762,0.3902,0.993,0.9992,0.0,180.1558
Liverpool,94.8888,2.7758,0.1052,0.9522,0.9966,0.0,138.068
Aston Villa,77.8498,5.2348,0.0032,0.4078,0.7976,0.0,66.1396
Tottenham,75.0002,5.7326,0.0018,0.295,0.7108,0.0,56.6332
Chelsea,70.5054,6.5548,0.0002,0.166,0.5482,0.0002,42.3152
Manchester United,66.1084,7.4242,0.0002,0.0848,0.3786,0.0,28.4896
Newcastle United,65.9582,7.4542,0.0004,0.0874,0.3742,0.0004,28.46
West Ham United,52.8206,10.373,0.0,0.007,0.0682,0.0076,-10.0068
Crystal Palace,48.2634,11.4946,0.0,0.0034,0.0348,0.0228,-23.4352
Brighton and Hove Albion,46.471,11.9384,0.0,0.0008,0.0278,0.0312,-28.5586
Bournemouth,46.4574,11.957,0.0,0.0028,0.0244,0.0344,-28.9674
Fulham,45.4072,12.2074,0.0,0.0028,0.0236,0.0386,-31.88
Wolverhampton Wanderers,43.594,12.6832,0.0,0.0006,0.0126,0.0528,-37.5846
Everton,34.2686,15.0674,0.0,0.0,0.0016,0.202,-66.8136
Brentford,32.8596,15.4052,0.0,0.0,0.001,0.2368,-71.6218
Ipswich Town,28.6134,16.4346,0.0,0.0,0.0,0.3808,-87.0026
Leicester City,26.0886,17.007,0.0,0.0,0.0006,0.498,-96.2532
Nottingham Forest,23.3296,17.6408,0.0,0.0,0.0002,0.6142,-107.1298
Southampton,15.6992,19.0568,0.0,0.0,0.0,0.8802,-143.9744
